State Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons)
Orissa,276.34,433.1,0.15,0.27,6.18,14.39,1.1,0.79,2.09,15.95,0,0
Orissa,529.76,626.07,0.41,0.76,8.99,21.69,1.4,0.96,1.06,8.05,1.16,2.98
Orissa,198.96,349.97,0.4,0.75,8.5,21.92,2.4,1.73,0.18,1.33,0,0
West Bengal,606.14,1690.69,1.68,3.36,0.46,1.18,0.24,0.3,1.68,14.7,0.18,0.16
West Bengal,242.66,804.3,0,0,6,23.04,3.46,4.18,2.38,20.84,0,0
West Bengal,367.54,1178.19,0.06,0.19,13.78,56.34,8.94,13.69,3.24,27.52,0,0
West Bengal,520.61,1597.43,3.42,9.12,0.12,0.26,1.33,1.72,2.03,12.93,0,0
West Bengal,423.81,1376.11,35.12,99.7,1.18,2.62,12.36,18.32,0.58,5.23,0,0
West Bengal,384.61,1081.48,1.17,3.02,0.73,1.83,0.69,0.91,0.02,0.18,0,0
West Bengal,260.37,839.67,0.46,1.12,0.53,1.33,0.11,0.16,0.57,3.95,0,0
West Bengal,110.38,300.67,0.16,0.28,0.12,0.39,0.01,0.01,0.11,0.95,0,0
West Bengal,214.23,514.26,10.75,35.44,30.97,160.43,0.12,0.18,0.15,1.35,0,0
West Bengal,28.27,65.58,0.43,1.29,12.65,30.08,0.02,0.02,0.01,0.12,0,0
West Bengal,213.93,629.95,9.68,31.46,36.68,284.53,0.55,0.53,2.82,28.03,0,0
West Bengal,273.05,745.2,7.4,22.28,24.38,149.62,0,0,0.06,0.5,0,0
West Bengal,273.17,751.47,1.05,2.14,10.46,17.29,0.53,0.61,0.47,7.31,0,0
West Bengal,970.95,3001.78,0.19,0.5,1.11,3.25,0.09,0.12,2.83,28.91,0,0
West Bengal,417.97,1082.16,44.44,149.23,82.96,648.67,0.74,1.09,1.08,9.92,0,0
Bihar,401.13,642.01,221.16,566.42,88.6,294.04,0.01,0.01,166.97,969.07,0,0
Bihar,284.69,469.65,234.86,694.38,74.19,186.02,0.12,0.14,27.85,188.09,0,0
Bihar,379.07,641.69,204.34,573.28,76.44,480,0.07,0.09,5.04,29.89,0,0
Bihar,168.85,279.7,102,266.86,44.05,235.49,0,0,0.15,0.87,0,0
Bihar,400.4,747.48,91.16,216.38,148.41,1030.07,0.24,0.27,0.12,0.73,0,0
Bihar,236.63,413.07,242.43,698.72,60.75,178.48,0.23,0.26,27.69,158.7,0,0
Bihar,191.89,597.76,148.68,500.15,12.48,54.07,14.11,16.94,0.23,1.42,0,0
Bihar,192.94,514.37,194.25,590.69,114.66,416.98,8.03,9.8,2.53,15.81,0,0
Bihar,125.45,441.68,80.63,247.35,49.04,218.55,5.15,3.81,2.63,14.79,0,0
Jharkhand,351,726.35,0,0,92.42,208.15,50.59,61.15,0,0,0,0
Bihar,492.74,1840.01,359.53,1118.79,3.66,9.49,13.66,15.37,0.24,1.53,0,0
Bihar,433.19,1505.74,222.27,631.28,5.17,17.56,16.6,20.49,0.32,1.56,0,0
Jharkhand,266.02,533.69,0,0,64.33,139.51,61.76,86.78,0,0,0,0
Jharkhand,53.28,113.46,0,0,4.95,11.5,7.04,10.27,0,0,0,0
Jharkhand,121.89,253.28,0,0,66.32,93.25,40.03,30.49,0,0,0,0
Jharkhand,556.33,1124.5,0,0,39.61,103.5,43.27,58.32,0,0,0,0
Jharkhand,386.91,669.97,0,0,27.07,40.82,29.99,38.79,0,0,0,0
